activity subject variable mean
walking 1 timeBodyAccelerometerMeanX 0.277330758736842
walking 1 timeBodyAccelerometerMeanY -0.0173838185273684
walking 1 timeBodyAccelerometerMeanZ -0.111148103547368
walking 1 timeBodyAccelerometerStandardDeviationX -0.283740258842105
walking 1 timeBodyAccelerometerStandardDeviationY 0.114461336747368
walking 1 timeBodyAccelerometerStandardDeviationZ -0.260027902210526
walking 1 timeGravityAccelerometerMeanX 0.935223201473684
walking 1 timeGravityAccelerometerMeanY -0.282165021263158
walking 1 timeGravityAccelerometerMeanZ -0.068102864
walking 1 timeGravityAccelerometerStandardDeviationX -0.976609642526316
walking 1 timeGravityAccelerometerStandardDeviationY -0.971305961473684
walking 1 timeGravityAccelerometerStandardDeviationZ -0.947717226105263
walking 1 timeBodyAccelerometerJerkMeanX 0.0740416333157895
walking 1 timeBodyAccelerometerJerkMeanY 0.0282721095884211
walking 1 timeBodyAccelerometerJerkMeanZ -0.00416840617789474
walking 1 timeBodyAccelerometerJerkStandardDeviationX -0.113615602435789
walking 1 timeBodyAccelerometerJerkStandardDeviationY 0.0670025007684211
walking 1 timeBodyAccelerometerJerkStandardDeviationZ -0.502699788526316
walking 1 timeBodyGyroscopeMeanX -0.041830963526
walking 1 timeBodyGyroscopeMeanY -0.0695300462115789
walking 1 timeBodyGyroscopeMeanZ 0.0849448173042105
walking 1 timeBodyGyroscopeStandardDeviationX -0.473535485894737
walking 1 timeBodyGyroscopeStandardDeviationY -0.0546077686594737
walking 1 timeBodyGyroscopeStandardDeviationZ -0.344266629473684
walking 1 timeBodyGyroscopeJerkMeanX -0.0899975423705263
walking 1 timeBodyGyroscopeJerkMeanY -0.0398428709463158
walking 1 timeBodyGyroscopeJerkMeanZ -0.0461309295021053
walking 1 timeBodyGyroscopeJerkStandardDeviationX -0.207421854757895
walking 1 timeBodyGyroscopeJerkStandardDeviationY -0.304468510631579
walking 1 timeBodyGyroscopeJerkStandardDeviationZ -0.404255452631579
walking 1 timeBodyAccelerometerMagnitudeMean -0.136971176556842
walking 1 timeBodyAccelerometerMagnitudeStandardDeviation -0.219688645631579
walking 1 timeGravityAccelerometerMagnitudeMean -0.136971176556842
walking 1 timeGravityAccelerometerMagnitudeStandardDeviation -0.219688645631579
walking 1 timeBodyAccelerometerJerkMagnitudeMean -0.141428809031579
walking 1 timeBodyAccelerometerJerkMagnitudeStandardDeviation -0.0744717500625263
walking 1 timeBodyGyroscopeMagnitudeMean -0.160979552536842
walking 1 timeBodyGyroscopeMagnitudeStandardDeviation -0.186978364526316
walking 1 timeBodyGyroscopeJerkMagnitudeMean -0.298703679084211
walking 1 timeBodyGyroscopeJerkMagnitudeStandardDeviation -0.325324878894737
walking 1 frequencyDomainSignalBodyAccelerometerMeanX -0.202794306326316
walking 1 frequencyDomainSignalBodyAccelerometerMeanY 0.0897127264021053
walking 1 frequencyDomainSignalBodyAccelerometerMeanZ -0.331560117789474
walking 1 frequencyDomainSignalBodyAccelerometerStandardDeviationX -0.319134719578947
